Date,SNo,Name,Symbol,High,Low,Open,Close,Volume,Marketcap,Return,Change,Volatility,MA7,MA21,Momentum,MACD,Signal,Upper_band,Lower_band
2019-03-12 23:59:59,41,Wrapped Bitcoin,WBTC,3939.3299488000007,3832.92221912,3900.89846469,3909.91919298,5523.0642593751,0.0,0.002,9.870767840000099,90.34749628402105,3922.005576704286,3909.465611062858,3938.1867382,-22.719333478253247,-33.571170693280585,4115.26579534548,3703.665426780236
2019-03-13 23:59:59,42,Wrapped Bitcoin,WBTC,3929.62839587,3874.61294535,3921.0769159999995,3901.74356101,4701.18021166806,0.0,-0.005,-8.175631969999813,86.99797686832817,3918.950293785714,3902.145568668572,3976.81068069,-21.85443440776544,-31.227823436177555,4096.7668956239795,3707.524241713165
2019-03-14 23:59:59,43,Wrapped Bitcoin,WBTC,3963.98446319,3892.42649195,3899.20205884,3941.65341835,4926.24379635965,0.0,0.011,39.90985733999969,84.38556543886394,3925.143691515714,3900.380280365239,3897.04842514,-17.744061223904737,-28.53107099372299,4092.7436890850254,3708.0168716454523
2019-03-15 23:59:59,44,Wrapped Bitcoin,WBTC,4014.02034202,3897.20451806,3937.43003533,3967.20486186,7744.678335602329,0.0,0.008,25.551443510000354,82.83170170707481,3934.5095540328575,3897.952473786191,3906.91919298,-12.28318005941037,-25.28149280686047,4085.292433922672,3710.6125136497103
2019-03-16 23:59:59,45,Wrapped Bitcoin,WBTC,4144.41278628,3973.11296181,3973.11296181,4041.24493155,3435.4155820901397,0.0,0.017,74.04006968999965,86.48361714629873,3948.8035816542865,3891.9716374661907,3898.74356101,-1.9584023050128962,-20.616874706490957,4048.790647915231,3735.1526270171503
2019-03-17 23:59:59,46,Wrapped Bitcoin,WBTC,4073.62885297,3978.15278977,4037.76873138,4031.44661696,20982.04835221,0.0,-0.002,-9.79831458999979,88.12254961290277,3956.180143978572,3909.6630072004764,3938.65341835,5.371497077207096,-15.419200349751346,4037.7233727695534,3781.6026416313994
2019-03-18 23:59:59,47,Wrapped Bitcoin,WBTC,4094.05086307,4006.35921354,4035.63997778,4075.62411073,2959.9433258218396,0.0,0.01,44.17749377000018,92.86297575279009,3981.2623847771433,3919.6555007657144,3964.20486186,14.577212653736296,-9.419917749053818,4064.926255190448,3774.3847463409807
2019-03-19 23:59:59,48,Wrapped Bitcoin,WBTC,4093.11753539,4023.29909577,4074.38572392,4076.27262813,5386.05508170911,0.0,0.0,0.6485173999999461,96.22252639639647,4005.027161227143,3927.831668948572,4038.24493155,21.675279377755032,-3.2008783236920486,4088.091184650752,3767.5721532463917
2019-03-20 23:59:59,49,Wrapped Bitcoin,WBTC,4106.04795599,4024.02387287,4080.72097993,4102.37682654,6762.5579050100505,0.0,0.005,26.10419841000021,100.7643494877869,4033.6890563028574,3937.287947554762,4028.44661696,29.071817232666945,3.25366078757975,4114.1641562321465,3760.411738877377
2019-03-21 23:59:59,50,Wrapped Bitcoin,WBTC,4117.88455203,3996.19815076,4103.65461312,4031.06209408,37598.4105916025,0.0,-0.018,-71.31473246000041,99.34300506758967,4046.4617242642857,3945.69159220381,4072.62411073,28.846598236342743,8.37224827733235,4122.833809041798,3768.549375365822
2019-03-22 23:59:59,51,Wrapped Bitcoin,WBTC,4078.66900294,4017.97030489,4027.54733011,4034.86531636,5036.59745329223,0.0,0.002,3.8032222800002273,97.97850636153345,4056.1275034785713,3954.0970909852385,4073.27262813,28.644799395617156,12.426758500989312,4130.583065537787,3777.611116432691
2019-03-23 23:59:59,52,Wrapped Bitcoin,WBTC,4084.79027836,4008.65953707,4030.31661571,4043.71893913,1383.9553801847,0.0,0.003,8.853622769999674,96.90045218127203,4056.480933132857,3962.2943296761914,4099.37682654,28.866530332306866,15.714712867252823,4138.673412926754,3785.915246425629
2019-03-24 23:59:59,53,Wrapped Bitcoin,WBTC,4048.44114676,3998.41169598,4048.20272067,4034.19217595,67.7519933445204,0.0,-0.003,-9.526763179999762,95.28404185384211,4056.873155845714,3972.2954205971437,4028.06209408,27.95131813065518,18.162033919933297,4139.35122808765,3805.2396131066375
2019-03-25 23:59:59,54,Wrapped Bitcoin,WBTC,4053.71903581,3940.08122122,4038.80553758,3974.14404654,1686.1418489714001,0.0,-0.016,-60.04812941,92.48328122200127,4042.376003818571,3982.505984262858,4031.86531636,22.125573824510866,18.954741900848813,4118.274090702446,3846.7378778232696
